111001107875;COLEGIO CIUDADELA EDUCATIVA DE BOSA (IED);KR 98 B # 74 - 68 SUR;7
111001107883;COLEGIO DEBORA ARANGO PEREZ (IED);KR 86 # 74 - 00 SUR;7
211102000243;COLEGIO EL PORVENIR (IED);CL 52 A SUR # 87 D - 45;7
111001002909;COLEGIO CARLOS ALBAN HOLGUIN (IED);CL 72 SUR # 79 D - 33;7
111001104329;COLEGIO CARLOS PIZARRO LEON GOMEZ (IED);CL 72 SUR # 100 A - 71;7
111001010031;COLEGIO CEDID SAN PABLO (IED);KR 77 L # 65 J - 73 SUR;7
111001107875;COLEGIO CIUDADELA EDUCATIVA DE BOSA (IED);CL 52 SUR # 97 C - 35;7
111102000753;COLEGIO FERNANDO MAZUERA VILLEGAS (IED);KR 72 G # 39 - 57 SUR;8
111001086649;COLEGIO ALFONSO LOPEZ PUMAREJO (IED);CL 37 B SUR # 68 D - 93;8
111001016098;COLEGIO ALQUERIA DE LA FRAGUA (IED);KR 70 B # 24 B - 35 SUR;8
111001000124;COLEGIO CARLOS ARANGO VELEZ (IED);TV 72 B # 44 C - 19 SUR;8
111001011321;COLEGIO CARLOS ARTURO TORRES (IED);KR 78 C # 8 A - 43;8
111001076767;COLEGIO CASTILLA (IED);KR 80 I # 57 B - 50 SUR;8
111001013129;COLEGIO CLASS (IED);CL 2 # 93 - 28;8
111001104558;COLEGIO CODEMA (IED);CL 5 A SUR # 88 B - 08;8
111001001279;COLEGIO DARIO ECHANDIA (IED);KR 93 A # 42 A - 37 SUR;8
111001098906;COLEGIO EDUARDO UMA„A LUNA (IED);KR 78 G # 38 C - 11 SUR;8
111001012360;COLEGIO EL JAPON (IED);KR 73 A BIS B # 36 - 47 SUR;8
111001024660;COLEGIO FERNANDO SOTO APARICIO (IED);DG 41 SUR # 73 A - 80;8
111001014974;COLEGIO FRANCISCO DE MIRANDA (IED);KR 87 A # 6 A - 23;8
111001104281;COLEGIO GABRIEL BETANCOURT MEJIA (IED);CL 11 B # 80 B - 61;8
111001106984;COLEGIO GENERAL GUSTAVO ROJAS PINILLA (IED);CL 42 F SUR # 88 A - 25;8
111001100048;COLEGIO HERNANDO DURAN DUSSAN (IED);CL 38 C SUR # 79 - 08;8
111001024732;COLEGIO INEM FRANCISCO DE PAULA SANTANDER (IED);CL 38 SUR # 89 - 81;8
111001011274;COLEGIO ANDRES BELLO (IED);KR 10 A # 3 - 63 SUR;16
111001014745;COLEGIO ANTONIO JOSE DE SUCRE (IED);CL 39 SUR # 51 D - 19;16
111001012963;COLEGIO BENJAMIN HERRERA (IED);CL 11 # 65 B - 10;16
111001000078;COLEGIO DE CULTURA POPULAR (IED);KR 51 A # 26 - 38 SUR;16
111001012530;COLEGIO EL JAZMIN (IED);KR 51 # 16 - 64 SUR;16
111001012556;COLEGIO ESPA„A (IED);CL 1 H # 40 D - 13;16
111001014729;COLEGIO JOSE JOAQUIN CASAS (IED);CL 18 # 35 - 25;16
111001045535;COLEGIO JOSE MANUEL RESTREPO (IED);KR 56 # 15 - 41;16
111001102172;COLEGIO JULIO GARAVITO ARMERO (IED);CL 2 BIS # 56 A - 67;16
111001006122;COLEGIO LA MERCED (IED);CL 40 B SUR # 52 C - 60;16
111001013374;COLEGIO ESCUELA NACIONAL DE COMERCIO (IED);KR 3 ESTE # 9 - 77;17
