111001107875;4;8
111001107875;5;8
111001107875;6;5
111001107875;7;8
111001107875;8;6
111001107875;9;8
111001107875;10;10
111001107875;11;7
111001107883;4;1
111001107883;5;6
111001107883;6;2
111001107883;7;10
111001107883;8;1
111001107883;9;10
111001107883;10;8
111001107883;11;6
211102000243;4;5
211102000243;5;6
211102000243;6;9
211102000243;7;10
211102000243;8;5
211102000243;9;8
211102000243;10;10
211102000243;11;9
111102000753;4;1
111102000753;5;6
111102000753;6;2
111102000753;7;5
111102000753;8;5
111102000753;9;5
111102000753;10;7
111102000753;11;2
111001086649;4;7
111001086649;5;7
111001086649;6;3
111001086649;7;6
111001086649;8;3
111001086649;9;4
111001086649;10;5
111001086649;11;5
111001016098;4;4
111001016098;5;8
111001016098;6;6
111001016098;7;2
111001016098;8;6
111001016098;9;1
111001016098;10;6
111001016098;11;2
111001000124;4;5
111001000124;5;9
111001000124;6;1
111001000124;7;8
111001000124;8;8
111001000124;9;8
111001000124;10;7
111001000124;11;1
111001011321;4;1
111001011321;5;2
111001011321;6;5
111001011321;7;2
111001011321;8;7
111001011321;9;3
111001011321;10;1
111001011321;11;7
111001076767;4;7
111001076767;5;4
111001076767;6;9
111001076767;7;7
111001076767;8;2
111001076767;9;2
111001076767;10;1
111001076767;11;7
111001013129;4;8
111001013129;5;5
111001013129;6;4
111001013129;7;8
111001013129;8;1
111001013129;9;6
111001013129;10;5
111001013129;11;3
111001104558;4;2
111001104558;5;10
111001104558;6;1
111001104558;7;6
111001104558;8;4
111001104558;9;8
111001104558;10;10
111001104558;11;6
111001001279;4;3
111001001279;5;5
111001001279;6;2
111001001279;7;1
111001001279;8;4
111001001279;9;1
111001001279;10;10
111001001279;11;4
111001098906;4;10
111001098906;5;1
111001098906;6;3
111001098906;7;4
111001098906;8;6
111001098906;9;1
111001098906;10;6
111001098906;11;5
111001012360;4;6
111001012360;5;2
111001012360;6;8
111001012360;7;9
111001012360;8;4
111001012360;9;9
111001012360;10;4
111001012360;11;1
111001024660;4;4
111001024660;5;2
111001024660;6;3
111001024660;7;8
111001024660;8;7
111001024660;9;4
111001024660;10;1
111001024660;11;1
111001014974;4;9
111001014974;5;1
111001014974;6;7
111001014974;7;9
111001014974;8;1
111001014974;9;9
111001014974;10;10
111001014974;11;7
111001106984;4;8
111001106984;5;10
111001106984;6;5
111001106984;7;3
111001106984;8;6
111001106984;9;1
111001106984;10;9
111001106984;11;6
111001024732;4;9
111001024732;5;8
111001024732;6;2
111001024732;7;7
111001024732;8;9
111001024732;9;10
111001024732;10;6
111001024732;11;5
111001014745;4;3
111001014745;5;5
111001014745;6;8
111001014745;7;7
111001014745;8;6
111001014745;9;9
111001014745;10;3
111001014745;11;9
111001000078;4;3
111001000078;5;8
111001000078;6;6
111001000078;7;1
111001000078;8;1
111001000078;9;9
111001000078;10;7
111001000078;11;9
111001012556;4;3
111001012556;5;10
111001012556;6;5
111001012556;7;2
111001012556;8;1
111001012556;9;2
111001012556;10;2
111001012556;11;7
111001045535;4;6
111001045535;5;7
111001045535;6;2
111001045535;7;4
111001045535;8;6
111001045535;9;3
111001045535;10;7
111001045535;11;7
111001094897;4;7
111001094897;5;6
111001094897;6;1
111001094897;7;8
111001094897;8;8
111001094897;9;6
111001094897;10;1
111001094897;11;6
111001102148;4;5
111001102148;5;4
111001102148;6;2
111001102148;7;9
111001102148;8;8
111001102148;9;8
111001102148;10;5
111001102148;11;1
111001018058;4;10
111001018058;5;1
111001018058;6;7
111001018058;7;1
111001018058;8;4
111001018058;9;2
111001018058;10;5
111001018058;11;10
111001015733;4;6
111001015733;5;9
111001015733;6;2
111001015733;7;1
111001015733;8;3
111001015733;9;6
111001015733;10;4
111001015733;11;10
111001034134;4;4
111001034134;5;10
111001034134;6;6
111001034134;7;10
111001034134;8;7
111001034134;9;6
111001034134;10;3
111001034134;11;9
111001102091;4;3
111001102091;5;8
111001102091;6;9
111001102091;7;6
111001102091;8;4
111001102091;9;1
111001102091;10;9
111001102091;11;6
111001030015;4;9
111001030015;5;5
111001030015;6;7
111001030015;7;6
111001030015;8;6
111001030015;9;8
111001030015;10;3
111001030015;11;9
111001027332;4;10
111001027332;5;4
111001027332;6;9
111001027332;7;1
111001027332;8;5
111001027332;9;1
111001027332;10;6
111001027332;11;9
